what makes something do something?;what creates something?,0.727,1,,
what is being built?;what builds?,0.73,0,,
what does something break down?;what does something break?,0.735,1,,
what is being gotten?;what gets?,0.74,1,,
what does something travel to?;what is something transported to?,0.703,1,,
what is being placed?;what is being put?,0.717,1,,
what does something absorb?;what is something absorbed into?,0.739,1,,
what is pushed out?;what is pushed up?,0.739,1,,
what becomes something?;what makes something?,0.744,0,80.00%,0.7-0.75
what is sent somewhere?;what is shipped somewhere?,0.692,1,,
what passes somewhere?;what travels somewhere?,0.68,1,,
what becomes something?;what undergoes something?,0.657,1,,
what does something move into?;what does something move?,0.675,1,,
what escapes from something?;what is captured by something?,0.655,0,,
what starts something?;what creates something?,0.665,0,,
what comes out?;what comes up?,0.676,1,,
what causes something to do something?;what can't cause something?,0.672,0,,
what is transferred somewhere?;what is deposited somewhere?,0.698,0,,
what does something expel through?;what does someone expel?,0.669,1,,
what is reused?;what is recycled?,0.694,1,,
what makes something something?;what gets something?,0.697,1,,
what is something transported to?;who is something shipped to?,0.664,1,,
what makes something something?;what puts something?,0.689,0,,
what causes something?;what affects something?,0.664,1,66.67%,0.65-0.7
what turns into something?;what flows into something?,0.616,0,,
what is called something?;what puts something?,0.611,0,,
what enables something to do something?;what makes something do something?,0.646,1,,
what becomes something?;what is made something?,0.638,1,,
what is something taken by?;what does someone take?,0.62,0,,
what is being pushed?;what pushes through something?,0.615,0,,
what becomes something?;what gets something?,0.641,1,,
what is being transported?;what is being carried?,0.604,1,,
what does something burst through?;what does something break into?,0.638,1,,
what is something being put into?;what is something built in?,0.607,0,,
what makes something something?;what causes something to do something?,0.62,0,,
what does something flow down?;what does something flow from?,0.639,1,,
what appears somewhere?;what is located somewhere?,0.606,1,,
what does something turn into?;what is something formed into?,0.615,1,,
what evaporates somewhere?;what exists somewhere?,0.639,0,53.30%,0.6-0.65
what enters something?;what opens something?,0.564,0,,
what should be placed somewhere?;what gets somewhere?,0.562,0,,
what does something expel through?;what is something exhaled through?,0.568,0,,
what comes from something?;what is produced by something?,0.596,1,,
what passes through something?;what passes?,0.589,1,,
what is being cleaned?;what washes through something?,0.572,1,,
what was absorbed into something?;what is incorporated into something?,0.586,0,,
what does something travel through?;what is something wrapped through?,0.571,0,,
what pushes something?;what moves something?,0.598,1,,
what was formed?;what is created?,0.566,1,,
what comes through something?;what is produced by something?,0.578,1,,
what stays somewhere?;what exists somewhere?,0.574,1,,
what does something get?;what does something come as?,0.584,0,,
what collects something?;what obtains something?,0.586,0,,
what gets something?;what creates something?,0.564,0,46.67%,0.55-0.6
what exists somewhere?;what will be released somewhere?,0.518,0,,
what makes something do something?;what touches something?,0.537,0,,
what grows somewhere?;what is built somewhere?,0.527,1,,
what picks up something?;what is being picked?,0.55,0,,
what makes something something?;what touches something?,0.531,0,,
what does something bounce off?;what does something run off?,0.527,0,,
what does someone take?;what did someone use?,0.504,1,,
what starts to do something?;what is formed from something?,0.513,0,,
what collects something?;who purchases something?,0.516,1,,
what is being obtained?;what is being produced?,0.524,0,,
what is something brushed with?;what is something pushed by?,0.545,0,,
what flows into something?;what gets to something?,0.501,0,,
what rises from something?;what came off something?,0.523,1,,
what is hitting something?;what damages something?,0.525,0,,
what is moved somewhere?;what expels somewhere?,0.504,1,33.33%,0.5-0.55
